_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
2661,2661,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 12:00,19
2662,2662,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 13:00,9.5
2663,2663,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 14:00,17.5
2664,2664,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 15:00,11.5
2665,2665,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 16:00,17
2666,2666,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 17:00,7
2667,2667,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 22:00,3.5
2668,2668,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 23:00,7.5
2669,2669,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 02:00,0.5
2670,2670,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 05:00,0.5
2671,2671,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 11:00,2.5
2672,2672,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 14:00,1.5
2673,2673,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 16:00,0.5
2674,2674,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 18:00,1.5
2675,2675,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 21:00,2.5
2676,2676,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 22:00,0.5
2677,2677,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,06-06-2026 23:00,0.5
