SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
119,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,31-07-2021 19:00,3.5
120,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,09-08-2021 10:00,0.5
121,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,09-08-2021 11:00,0.5
122,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,10-08-2021 19:00,2
123,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,11-08-2021 16:00,4
124,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,11-08-2021 17:00,0.5
125,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,12-08-2021 05:00,0.5
126,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,24-08-2021 03:00,3.5
127,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,17-06-2022 03:00,0.5
128,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-06-2022 23:00,0.5
129,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-06-2022 03:00,0.5
130,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-06-2022 06:00,4
131,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-06-2022 13:00,5
132,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-06-2022 16:00,5
133,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-06-2022 21:00,5
