SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
117,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,22-09-2022 08:00,2
118,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,22-09-2022 11:00,0.5
119,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,23-09-2022 03:00,0.5
120,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,23-09-2022 05:00,0.5
121,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,23-09-2022 17:00,0.5
122,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,23-09-2022 20:00,0.5
123,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,23-09-2022 21:00,6
124,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,24-09-2022 03:00,3.5
125,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,24-09-2022 04:00,2.5
126,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,24-09-2022 10:00,3.5
127,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,25-09-2022 01:00,1
